ClusterID,BirthFrame,DeathFrame,Lifetime
45-224,1,8,7
195-292,1,139,138
144-204,1,139,138
269-328,1,139,138
179-230,1,197,196
45-306,1,197,196
51-327,1,264,263
39-161,1,295,294
390-399,1,395,394
282-427,16,496,480
274-276,1,1395,1394
257-302,1,1463,1462
73-117,1797,2156,359
225-368,1,2210,2209
278-331,1017,2238,1221
278-460,1017,2238,1221
324-378,1,2259,2258
89-138,1,2308,2307
89-174,2308,2317,9
35-138,1,2317,2316
324-326,1,2338,2337
289-378,2259,2338,79
105-256,1,2532,2531
213-340,1,2728,2727
278-299,2238,2736,498
217-348,1,2755,2754
91-412,1,2792,2791
39-404,2532,2873,341
245-358,1,2986,2985
245-394,1,2986,2985
82-270,1,3144,3143
67-164,3087,3350,263
15-79,1,3448,3447
45-304,1,3524,3523
65-88,1,3566,3565
90-176,3563,3704,141
90-413,2591,3704,1113
79-94,2288,3821,1533
348-367,2755,3857,1102
17-246,3974,4028,54
209-246,1,4028,4027
418-464,1,4305,4304
229-460,2736,4541,1805
141-349,3997,4662,665
349-390,395,4662,4267
62-66,1,4876,4875
18-338,1,5000,4999
291-350,4720,5000,280
67-183,1,5000,4999
181-393,1,5000,4999
139-276,2625,5000,2375
318-332,1,5000,4999
284-491,4556,5000,444
97-266,1,5000,4999
243-303,1,5000,4999
15-236,3448,5000,1552
277-377,1,5000,4999
53-401,1,5000,4999
123-325,1,5000,4999
437-468,1797,5000,3203
422-458,2443,5000,2557
217-351,1,5000,4999
94-133,3821,5000,1179
164-466,4020,5000,980
13-344,1,5000,4999
16-261,1,5000,4999
335-473,1,5000,4999
104-483,1,5000,4999
225-397,2210,5000,2790
18-336,1,5000,4999
50-429,2948,5000,2052
104-112,1,5000,4999
151-231,1,5000,4999
320-346,1,5000,4999
22-395,4380,5000,620
256-482,1940,5000,3060
171-283,4539,5000,461
220-453,1,5000,4999
158-484,1,5000,4999
207-430,1,5000,4999
196-311,3528,5000,1472
115-248,1,5000,4999
436-492,1,5000,4999
234-466,1,5000,4999
80-359,1,5000,4999
370-470,1,5000,4999
410-456,1,5000,4999
83-450,1,5000,4999
327-417,264,5000,4736
28-263,1571,5000,3429
188-476,1,5000,4999
125-291,3563,5000,1437
202-273,1,5000,4999
56-249,1,5000,4999
80-463,1,5000,4999
76-494,2012,5000,2988
53-411,1584,5000,3416
239-464,4305,5000,695
277-369,1,5000,4999
60-313,1,5000,4999
106-491,1,5000,4999
0-20,1,5000,4999
108-393,1,5000,4999
135-319,2332,5000,2668
163-432,2567,5000,2433
334-402,4361,5000,639
443-472,3901,5000,1099
73-221,1,5000,4999
228-493,4293,5000,707
117-423,2757,5000,2243
11-290,3393,5000,1607
23-419,1,5000,4999
114-337,1,5000,4999
25-140,1,5000,4999
22-113,2500,5000,2500
162-347,1,5000,4999
20-420,1,5000,4999
226-270,3144,5000,1856
251-379,1,5000,4999
286-465,1,5000,4999
40-160,4589,5000,411
308-498,1,5000,4999
67-490,2977,5000,2023
131-250,1,5000,4999
156-286,1,5000,4999
222-364,1,5000,4999
372-428,1,5000,4999
27-142,1,5000,4999
317-393,1,5000,4999
30-85,1,5000,4999
340-452,1,5000,4999
421-431,3281,5000,1719
357-447,1,5000,4999
179-306,197,5000,4803
153-292,2829,5000,2171
300-489,1,5000,4999
127-142,1,5000,4999
52-150,1,5000,4999
117-307,2156,5000,2844
29-169,1,5000,4999
81-372,1,5000,4999
21-440,1,5000,4999
25-496,1,5000,4999
71-296,4734,5000,266
365-419,1,5000,4999
13-14,1,5000,4999
268-383,2369,5000,2631
145-261,1,5000,4999
320-462,1,5000,4999
49-403,1,5000,4999
343-367,3857,5000,1143
185-372,1,5000,4999
101-167,1,5000,4999
148-253,1,5000,4999
433-461,1,5000,4999
91-341,2792,5000,2208
149-281,1,5000,4999
7-55,1,5000,4999
361-389,3305,5000,1695
152-362,1,5000,4999
124-199,1,5000,4999
78-381,1,5000,4999
105-111,2532,5000,2468
46-414,3208,5000,1792
172-332,1,5000,4999
155-283,3889,5000,1111
161-424,295,5000,4705
122-469,1,5000,4999
1-429,2485,5000,2515
235-258,1,5000,4999
197-319,4818,5000,182
213-416,2728,5000,2272
12-126,1,5000,4999
67-323,4967,5000,33
305-434,1,5000,4999
316-438,1,5000,4999
78-109,4957,5000,43
43-392,1,5000,4999
74-315,2187,5000,2813
275-433,3439,5000,1561
309-481,1,5000,4999
342-375,1,5000,4999
170-427,496,5000,4504
154-396,1,5000,4999
7-54,1,5000,4999
314-391,2701,5000,2299
162-252,1,5000,4999
316-497,1,5000,4999
132-206,1,5000,4999
374-384,1,5000,4999
4-251,1581,5000,3419
32-41,3354,5000,1646
333-470,1,5000,4999
76-143,1,5000,4999
254-385,1,5000,4999
