ClusterID,BirthFrame,DeathFrame,Lifetime
360-476,1,2,1
0-358,23,5000,4977
154-336,1,2,1
91-465,1,2,1
188-234,7,5000,4993
214-450,1,3,2
192-260,1,3,2
192-221,4,5000,4996
355-357,1,4,3
400-408,1,4,3
241-428,1,4,3
99-496,1,4,3
109-357,1,4,3
408-472,1,4,3
134-368,1,5,4
104-458,1,5,4
11-421,1,5,4
295-329,1,6,5
360-364,2,7,5
163-435,1,8,7
201-346,1,8,7
208-296,1,10,9
4-114,1,11,10
83-465,2,11,9
49-142,1,14,13
173-390,1,15,14
156-173,1,15,14
60-71,2,17,15
232-492,1,19,18
358-374,1,23,22
77-94,4598,5000,402
37-252,2228,5000,2772
149-246,4040,5000,960
240-299,1,1794,1793
250-365,1,1794,1793
449-462,1,2984,2983
364-378,1,4554,4553
279-375,1,5000,4999
77-357,538,5000,4462
70-290,1,5000,4999
36-402,1,5000,4999
278-434,1,5000,4999
318-332,1,5000,4999
65-224,1,5000,4999
314-361,1,5000,4999
56-301,1,5000,4999
38-67,1,5000,4999
80-164,1,5000,4999
152-254,1,5000,4999
86-305,1,5000,4999
165-347,1,5000,4999
335-395,1,5000,4999
425-453,1,5000,4999
28-200,1,5000,4999
269-469,1,5000,4999
55-138,1,5000,4999
328-380,1,5000,4999
140-488,1,5000,4999
22-68,1,5000,4999
66-173,15,5000,4985
206-222,1,5000,4999
152-429,1,5000,4999
162-468,1,5000,4999
146-408,1,5000,4999
84-422,1,5000,4999
303-345,1,5000,4999
48-307,1,5000,4999
180-371,1,5000,4999
199-377,1,5000,4999
123-314,1,5000,4999
210-465,2,5000,4998
61-453,1,5000,4999
76-388,1,5000,4999
33-336,2,5000,4998
50-72,1,5000,4999
332-473,1,5000,4999
112-419,1,5000,4999
223-237,23,5000,4977
101-310,281,5000,4719
230-412,1,5000,4999
455-464,1,5000,4999
80-225,1,5000,4999
253-497,1,5000,4999
250-299,1794,5000,3206
49-106,1,5000,4999
238-440,1,5000,4999
180-406,1,5000,4999
251-403,1,5000,4999
196-239,1,5000,4999
222-475,1,5000,4999
195-499,1,5000,4999
176-177,1,5000,4999
165-205,3,5000,4997
42-157,1,5000,4999
171-242,1,5000,4999
379-438,1,5000,4999
491-496,4,5000,4996
211-339,3,5000,4997
1-51,1,5000,4999
182-247,1,5000,4999
150-308,1,5000,4999
130-266,1,5000,4999
273-289,1,5000,4999
243-494,1,5000,4999
137-359,1,5000,4999
85-490,1,5000,4999
186-212,1,5000,4999
285-360,7,5000,4993
170-404,1,5000,4999
215-343,1,5000,4999
117-395,1,5000,4999
315-366,1,5000,4999
301-427,1,5000,4999
290-330,1,5000,4999
34-488,1,5000,4999
51-131,1,5000,4999
204-346,8,5000,4992
96-181,1,5000,4999
187-324,1,5000,4999
95-336,2,5000,4998
110-153,1,5000,4999
237-337,1,5000,4999
405-430,1,5000,4999
128-160,1,5000,4999
122-258,1,5000,4999
73-233,1,5000,4999
15-341,1,5000,4999
132-387,1,5000,4999
89-363,1,5000,4999
389-450,3,5000,4997
88-466,1,5000,4999
102-414,1,5000,4999
457-462,2984,5000,2016
413-444,1,5000,4999
16-451,1,5000,4999
234-312,3,5000,4997
354-486,1,5000,4999
202-378,4554,5000,446
161-397,1,5000,4999
82-191,1,5000,4999
155-240,1,5000,4999
35-227,1,5000,4999
167-479,1,5000,4999
165-458,5,5000,4995
283-477,28,5000,4972
314-342,1,5000,4999
184-426,1,5000,4999
79-177,1,5000,4999
382-446,1,5000,4999
12-395,1,5000,4999
36-119,1,5000,4999
252-437,2228,5000,2772
201-480,1,5000,4999
52-415,1,5000,4999
147-237,1,5000,4999
